Points,Raw Dim,Compressed Dim,Worst Similarity,Best Similarity,Worst Distance,Best Distance
7,19,9,0.999541668,0.999970298,0.030276463,0.007707391
7,19,10,0.999536964,0.999964924,0.030431446,0.008375674
7,19,11,0.999521895,0.999966008,0.030922631,0.008245207
7,19,12,0.999551335,0.999972701,0.029955462,0.007389005
7,19,13,0.999521912,0.999970895,0.030922083,0.007629577
7,19,14,0.999469287,0.999939554,0.032579532,0.010995124
7,19,15,0.999459343,0.999909791,0.032883353,0.013432002
7,19,16,0.999462306,0.999924152,0.032793116,0.012316483
7,19,17,0.999354698,0.999748123,0.035924972,0.02244446
7,19,18,0.999410189,0.99994128,0.034345628,0.010837007
7,20,2,0.999993635,0.999997881,0.003568039,0.002058878
7,20,3,0.999805854,0.999996998,0.019705106,0.002450471
7,20,4,0.999989681,0.999998316,0.004542913,0.001835318
7,20,5,0.999985876,0.999997626,0.005314826,0.002178968
7,20,6,0.999990655,0.999997594,0.004323183,0.002193429
7,20,7,0.999988536,0.999997975,0.004788334,0.002012565
7,20,8,0.999990785,0.999997382,0.00429296,0.002288104
7,20,9,0.999992986,0.999998182,0.003745304,0.001906701
7,20,10,0.999991494,0.999998136,0.004124572,0.001930731
7,20,11,0.999994626,0.999998121,0.00327847,0.001938612
7,20,12,0.999990046,0.999997875,0.004461733,0.002061705
7,20,13,0.999991762,0.999998379,0.004058975,0.001800453
7,20,14,0.999993135,0.999998387,0.003705366,0.001795845
7,20,15,0.999993622,0.999997943,0.003571633,0.002028309
7,20,16,0.99999402,0.99999785,0.003458189,0.002073653
7,20,17,0.999992875,0.999997941,0.003774856,0.002029151
7,20,18,0.99999372,0.999997458,0.003544124,0.002254599
7,20,19,0.999993069,0.999997844,0.003723042,0.002076314
8,3,2,0.932747456,0.989924837,0.366749354,0.141951847
8,4,2,0.994210778,0.998313301,0.107603176,0.058080957
8,4,3,0.99460539,0.998475989,0.103871167,0.055208893
8,5,2,0.994421375,0.997400379,0.105627887,0.07210577
